open,high,low,close,volume,marketCap,timestamp
16625.5103941178,16759.3440229184,16572.2288497449,16688.4713573932,12097775226.69,321262452550.73,"2023-01-02T00:00:00.000Z"
16688.8472638592,16760.4474659846,16622.3703282563,16679.8570798137,13903079206.51,321111951654.75,"2023-01-03T00:00:00.000Z"
16680.2049714198,16964.5851854634,16667.7637251347,16863.2382582833,18421743322.29,324658229824.73,"2023-01-04T00:00:00.000Z"
16863.4720568268,16884.0221164772,16790.2830406922,16836.7366452236,13692758566.46,324163886549.58,"2023-01-05T00:00:00.000Z"
16836.4734391553,16991.9941211705,16716.4222705217,16951.9695166293,14413662912.72,326401273258.71,"2023-01-06T00:00:00.000Z"
16952.1169810139,16975.016620564,16914.1920801119,16955.0774351588,7714767174.32,326478273136.7,"2023-01-07T00:00:00.000Z"
16954.1457258497,17091.1444513033,16924.0500739253,17091.1444513033,9768827914.24,329114546384.43,"2023-01-08T00:00:00.000Z"
17093.9924981225,17389.9575514263,17093.9924981225,17196.5540596395,18624736865.86,331160060320.4,"2023-01-09T00:00:00.000Z"
17192.9500944457,17484.7208924046,17162.991166987,17446.292509299,15808338948.79,335987993694.35,"2023-01-10T00:00:00.000Z"
17446.3602720665,17987.6335493591,17337.9949977618,17943.8976294683,18307186523.32,346303640718.24,"2023-01-11T00:00:00.000Z"
17944.0687339418,19030.0876366382,17919.2317058357,18869.5880552656,34971338710.34,363433455081.14,"2023-01-12T00:00:00.000Z"
18868.9059378421,19964.3227279643,18753.1642622097,19909.5746247506,29225029693.63,383483154873.96,"2023-01-13T00:00:00.000Z"
19910.5366570655,21075.1418299576,19907.8284635609,20976.2997963921,38967784639.05,404052157141.45,"2023-01-14T00:00:00.000Z"
20977.484195217,20993.7486958535,20606.9872383992,20880.7992021821,19298407543.31,402234665331.34,"2023-01-15T00:00:00.000Z"
20882.2238766183,21360.8742794775,20715.7462141198,21169.6327806964,26792494049.72,407818156777.17,"2023-01-16T00:00:00.000Z"
21175.8332602034,21438.6593578573,20978.5336242013,21161.5192199162,24999983362.13,407681958151.49,"2023-01-17T00:00:00.000Z"
