open,high,low,close,volume,marketCap,timestamp
2090.4598855536,2102.3266553189,1916.6561061743,1916.6561061743,17740965588.8,231594842725.92,"2022-05-18T00:00:00.000Z"
1916.1495138509,2028.3881503092,1907.0205049959,2018.3361706564,18734247914.12,243906956357.43,"2022-05-19T00:00:00.000Z"
2018.0001298707,2054.7960050832,1926.6767956298,1961.3156499717,15892482288.76,237041503832.88,"2022-05-20T00:00:00.000Z"
1961.0179963529,1985.3959610391,1944.2651074545,1974.5183665274,8546822405.76,238662541734.67,"2022-05-21T00:00:00.000Z"
1974.6706039198,2047.1914363783,1966.0387800025,2043.17012556,10941123403.41,246986847793.11,"2022-05-22T00:00:00.000Z"
2042.3447861797,2080.3333765372,1964.386581003,1972.1818889757,16434529707.66,238431020387.29,"2022-05-23T00:00:00.000Z"
1972.3908707354,1991.5354988866,1920.6881578859,1978.982754263,13057109007.09,239278614833.62,"2022-05-24T00:00:00.000Z"
1978.6770417608,2014.3695258598,1943.9385458392,1944.8278449212,13364545730.05,235174141323.92,"2022-05-25T00:00:00.000Z"
1945.0333595367,1962.1710831036,1759.1995812984,1803.91329239,23458681817.93,218157454743.17,"2022-05-26T00:00:00.000Z"
1802.5438652761,1814.6565322376,1721.2647487201,1724.9228641135,25470760031.77,208627071822.52,"2022-05-27T00:00:00.000Z"
1762.4821598245,1800.4708338131,1724.635946351,1792.4161559381,12897702710.98,216813374963.24,"2022-05-28T00:00:00.000Z"
1792.184445129,1818.7766649745,1765.9373228215,1812.0309589115,10642556100.63,219209358147.19,"2022-05-29T00:00:00.000Z"
1811.8860421102,2005.2108424771,1804.4560101915,1996.4412844635,19580808705.31,241543951896.92,"2022-05-30T00:00:00.000Z"
1996.4080538851,2005.4909850528,1932.3520802902,1942.3279982558,18363115559.73,235021820715.09,"2022-05-31T00:00:00.000Z"
1942.0506177248,1965.1665820077,1776.0532124763,1823.5693574295,21037797759.71,220675468263.59,"2022-06-01T00:00:00.000Z"
1822.4121155505,1845.3140169632,1789.6641269749,1834.1505700355,17065041354.23,221979536503.5,"2022-06-02T00:00:00.000Z"
1834.1350208551,1840.0588336567,1746.50976013,1775.0786195244,14878001810.98,214853197852.79,"2022-06-03T00:00:00.000Z"
1775.220824789,1810.2996315677,1751.5333138093,1801.6094459601,8677951272.62,218086698231.5,"2022-06-04T00:00:00.000Z"
1801.8190083176,1825.8595950966,1777.1332602675,1805.2049888952,8850385937.2,218544227813.81,"2022-06-05T00:00:00.000Z"
