open,high,low,close,volume,marketCap,timestamp
3077.4130633932,3127.450728016,2888.7078686668,2927.3836328192,16043881064.68,349944259218.48,"2022-02-11T00:00:00.000Z"
2927.3864110506,2980.0794228523,2870.1770118649,2917.3626816608,11254355756.53,348785733007.45,"2022-02-12T00:00:00.000Z"
2916.7894701585,2947.7765956979,2845.39761289,2883.4634878657,9054963563.02,344772260795.08,"2022-02-13T00:00:00.000Z"
2880.1876755448,2957.9637287199,2840.2575140865,2933.479035507,12164552171.52,350792159064.23,"2022-02-14T00:00:00.000Z"
2933.7291030566,3185.5207014857,2917.8572884044,3179.8770759747,13921257873.27,380300250254.05,"2022-02-15T00:00:00.000Z"
3180.4468041024,3181.616886203,3055.1682053369,3127.8301165651,12352406833.1,374117832127.45,"2022-02-16T00:00:00.000Z"
3126.8584998524,3154.6152699028,2861.8520629148,2881.4820381633,15860206213.94,344691405366.36,"2022-02-17T00:00:00.000Z"
2884.3406483423,2937.3086735387,2761.6432448727,2785.7274909668,15748173432.77,333274482393.4,"2022-02-18T00:00:00.000Z"
2784.8728992612,2826.3479097069,2707.3784547446,2763.7012139901,9774183168.69,330676602381.7,"2022-02-19T00:00:00.000Z"
2763.7566583664,2763.7566583664,2585.9463980529,2628.6485428626,11641437833.56,314553542349.48,"2022-02-20T00:00:00.000Z"
2627.6654506506,2752.4585137975,2568.254453579,2573.8162259349,18646392739.73,308026942925.47,"2022-02-21T00:00:00.000Z"
2572.8985669325,2648.9166941874,2510.6787049045,2639.2992632462,16360200507,315899223813.38,"2022-02-22T00:00:00.000Z"
2639.4470102325,2741.3684391287,2587.4129553485,2590.3596208657,13382637239.98,310077026339.98,"2022-02-23T00:00:00.000Z"
2588.1661827278,2689.0476377231,2308.914730637,2598.0671601064,29312342665.54,311035019269.95,"2022-02-24T00:00:00.000Z"
2598.4362908279,2821.9724348296,2579.2079821474,2764.5356561157,17208902047.62,331001574996.18,"2022-02-25T00:00:00.000Z"
2764.9895067076,2849.4239850077,2745.0090705202,2781.1119039296,11724648351.01,333024181662.98,"2022-02-26T00:00:00.000Z"
2780.5043817431,2831.1255427764,2581.6156624663,2621.8017939844,16150857253.62,313983181396.22,"2022-02-27T00:00:00.000Z"
2621.172149798,2929.1805251187,2586.388112064,2919.2012286555,19266124733.01,349638704203.76,"2022-02-28T00:00:00.000Z"
2919.7758779522,3029.6515598419,2868.9389994088,2972.4850662484,18757425785.63,356060928141.81,"2022-03-01T00:00:00.000Z"
2972.4719710417,3026.8682796892,2919.9430992129,2950.1185006395,16636517503.47,353421574640.23,"2022-03-02T00:00:00.000Z"
2950.1566617868,2964.6733942115,2797.3192999154,2834.4691051703,13091199728.3,339605220817.13,"2022-03-03T00:00:00.000Z"
2834.9874030791,2835.1763168181,2587.7481763491,2617.1560278787,14496939024.25,313604105838.56,"2022-03-04T00:00:00.000Z"
2618.4735331241,2679.1024639631,2596.9900060637,2664.8311744433,8072368396.08,319352820652.92,"2022-03-05T00:00:00.000Z"
2664.943597269,2673.637165948,2555.0374406482,2555.0374406482,8872976606.77,306229430306.07,"2022-03-06T00:00:00.000Z"
2555.2975782329,2639.943218985,2455.5937269856,2497.7713203997,14594098730.83,299399838913.97,"2022-03-07T00:00:00.000Z"
2497.721431143,2618.1661197047,2489.7552439469,2576.7476117081,13922922903.13,308901634237.01,"2022-03-08T00:00:00.000Z"
2577.1653630692,2761.7964691672,2573.6551894042,2729.7835041625,14173665398.18,327284646384.19,"2022-03-09T00:00:00.000Z"
2729.1165507058,2729.1165507058,2566.1931465245,2608.048497585,13292477213.27,312725132202.93,"2022-03-10T00:00:00.000Z"
2608.2711745227,2664.5586854261,2534.6881695346,2559.5630442845,12382419581.61,306945646022.22,"2022-03-11T00:00:00.000Z"
2559.6607261667,2606.4386128487,2559.1269063287,2574.7542051655,6532996573.55,308802688253.24,"2022-03-12T00:00:00.000Z"
2573.4879823055,2594.5496903308,2503.8851776896,2518.9446311693,8632000379.38,302142844336.01,"2022-03-13T00:00:00.000Z"
2518.4863109625,2604.0344339096,2505.2992261971,2590.6960509187,11244398838.95,310784628714.7,"2022-03-14T00:00:00.000Z"
2590.6689338522,2662.3295325799,2515.7659831118,2620.1496247253,12861105614.48,314353415766.38,"2022-03-15T00:00:00.000Z"
2620.0284850657,2781.3072306109,2610.7645075035,2772.0556183272,17915109769.41,332615747238.23,"2022-03-16T00:00:00.000Z"
2771.9640191501,2826.1605781902,2751.5607251919,2814.8544342078,12685265194.3,337789077518.33,"2022-03-17T00:00:00.000Z"
2814.4346696203,2973.6161369265,2774.8556360172,2945.3430252396,15830879092.92,353488093017.08,"2022-03-18T00:00:00.000Z"
2944.7217436815,2979.9869569661,2910.8022034422,2946.2571390434,11576463120.11,353637851553.37,"2022-03-19T00:00:00.000Z"
2946.5476548411,2956.9654627981,2826.107380678,2860.4591299715,12684727326.19,343377833604.31,"2022-03-20T00:00:00.000Z"
