open,high,low,close,volume,marketCap,timestamp
2.5742608663,2.5766416338,2.5090714306,2.5491904194,944553719.06,18259576689.35,"2022-01-02T00:00:00.000Z"
2.5491559583,2.5499408449,2.3881409905,2.4326522587,1210619277.66,17424826383.55,"2022-01-03T00:00:00.000Z"
2.4342344421,2.500872788,2.3631256522,2.3672484403,1397576848.46,16956345869.77,"2022-01-04T00:00:00.000Z"
2.3671985243,2.4472867261,2.0563680144,2.1954749386,1859987978.01,15725950759.07,"2022-01-05T00:00:00.000Z"
2.1949272981,2.2841195429,2.0771114455,2.2507796666,2021304260.18,16122092575.11,"2022-01-06T00:00:00.000Z"
2.2501825784,2.2597597101,2.0489915267,2.0538255666,1901375449.4,14711331548.54,"2022-01-07T00:00:00.000Z"
2.0538210605,2.1407279036,1.9154894117,1.995859807,1354628315.61,14296129049.42,"2022-01-08T00:00:00.000Z"
1.9955150651,2.1633389932,1.9761166581,2.1155184687,1097561123.71,15153231168.34,"2022-01-09T00:00:00.000Z"
2.1154311184,2.1452104198,1.9371564999,2.0718022995,1580821791.23,14840096952.09,"2022-01-10T00:00:00.000Z"
2.0718725479,2.3626839523,2.0543385237,2.3569451944,2173934502.56,16882544827.81,"2022-01-11T00:00:00.000Z"
2.357821143,2.4411951574,2.3137586604,2.3925913405,1879726038.45,17137874576.1,"2022-01-12T00:00:00.000Z"
2.3928267678,2.4348697962,2.2492658117,2.2633167182,1536186796.74,16551391861.34,"2022-01-13T00:00:00.000Z"
2.2638148083,2.3467677894,2.1902264309,2.3377272746,1284256559.68,17095548261.4,"2022-01-14T00:00:00.000Z"
2.3376072572,2.3960530802,2.305512931,2.3536927584,878571421.17,17212302127.78,"2022-01-15T00:00:00.000Z"
2.3529086498,2.3680001037,2.2911191183,2.3298216062,750509305.81,17037734958.06,"2022-01-16T00:00:00.000Z"
2.3302498474,2.4451381165,2.1738582872,2.2219698566,1652189535.84,16249026707.09,"2022-01-17T00:00:00.000Z"
2.2218392164,2.2422116588,2.0869597118,2.1284394448,1475708072.73,15565048859.27,"2022-01-18T00:00:00.000Z"
2.1279740966,2.1383772972,2.0215919018,2.0359783657,1318686617.49,15072129000.85,"2022-01-19T00:00:00.000Z"
2.0356991786,2.1887475127,1.9600770835,1.9603729595,824202446.96,14590845223.37,"2022-01-20T00:00:00.000Z"
1.961333911,2.021771743,1.6584277245,1.6989900251,2195018009.76,12645400138.08,"2022-01-21T00:00:00.000Z"
1.6995911979,1.7527790723,1.4211427084,1.5306231717,2427596173.01,11392263745.15,"2022-01-22T00:00:00.000Z"
1.5318520709,1.6658591705,1.5183169469,1.6162476602,1387537184.1,12037638847.98,"2022-01-23T00:00:00.000Z"
1.616332456,1.616332456,1.3139609678,1.5075733164,2369012534.53,11228244016.1,"2022-01-24T00:00:00.000Z"
1.50771101,1.6062421028,1.4168808524,1.5585375116,1547658921.8,11607819864.3,"2022-01-25T00:00:00.000Z"
1.5583405911,1.8104888518,1.5329201393,1.5910552113,2349315414.48,11850008196.15,"2022-01-26T00:00:00.000Z"
1.5906686989,1.6600394531,1.5025952951,1.5916829082,1535313776.49,11875658059.21,"2022-01-27T00:00:00.000Z"
1.5905805281,1.6973871228,1.5694889782,1.6792169848,1490168756.73,12528755957.64,"2022-01-28T00:00:00.000Z"
1.6787339445,1.7367224923,1.6555250715,1.6949644816,888149999.51,12646249138.23,"2022-01-29T00:00:00.000Z"
1.6952553633,1.7076962591,1.580699162,1.6053304806,823938935.9,11977483556.33,"2022-01-30T00:00:00.000Z"
1.6056148667,1.6507340887,1.532721299,1.6439205794,913619284.42,12265406995.93,"2022-01-31T00:00:00.000Z"
1.6439133223,1.676493776,1.6222105888,1.6475930915,945559196.79,12292807867.21,"2022-02-01T00:00:00.000Z"
1.6477561299,1.6619888587,1.533421321,1.5418852686,828911082.86,11504114370.37,"2022-02-02T00:00:00.000Z"
1.5415372269,1.5502461855,1.4859292132,1.5502461855,806820755.07,11566495759.1,"2022-02-03T00:00:00.000Z"
1.5496369289,1.6908302386,1.5389094335,1.6908302386,960235728.4,12615403260.66,"2022-02-04T00:00:00.000Z"
1.6911449773,1.754719244,1.6790499829,1.7143601436,917069285.82,12790961535.77,"2022-02-05T00:00:00.000Z"
1.7144424083,1.7522699112,1.6748934276,1.7399505846,692969600.36,12981893615.01,"2022-02-06T00:00:00.000Z"
1.7397651089,2.0756811468,1.7031375765,2.0191424368,2150764551.2,15064963649.42,"2022-02-07T00:00:00.000Z"
2.0201997468,2.0434814401,1.8656870978,1.9486137155,1835279905.06,14538743901.74,"2022-02-08T00:00:00.000Z"
1.9471713772,2.0559840764,1.8963785887,2.0427681309,1429153482.47,15247364919.98,"2022-02-09T00:00:00.000Z"
2.042493143,2.042493143,1.8866590573,1.8958828748,1977316273.02,14176036417.74,"2022-02-10T00:00:00.000Z"
1.8963004917,1.8974452926,1.6834794676,1.7146209486,1779123710.55,12820691263.09,"2022-02-11T00:00:00.000Z"
1.714690524,1.7621723438,1.6549051069,1.6995105934,1053381538.7,12707706991.54,"2022-02-12T00:00:00.000Z"
1.6991929593,1.7208933511,1.64849735,1.6700211972,692184776.65,12487206685.81,"2022-02-13T00:00:00.000Z"
1.668160915,1.6759949745,1.6026784863,1.6588775561,1066674333.19,12403882623.98,"2022-02-14T00:00:00.000Z"
1.6588448982,1.8717561838,1.6559601434,1.8628546782,1226641280.6,14031532537.05,"2022-02-15T00:00:00.000Z"
1.8632873235,1.8721315526,1.7564704081,1.8385258696,1194666955.69,13848281275.28,"2022-02-16T00:00:00.000Z"
1.8379046472,1.8611153486,1.6527008658,1.6568700057,1137626487.01,12479999468.98,"2022-02-17T00:00:00.000Z"
1.6584981656,1.7111763749,1.5869092679,1.5955143823,1018489089.56,12017852079.26,"2022-02-18T00:00:00.000Z"
1.5953828447,1.6407938171,1.5658542973,1.6318351949,641146699.37,12291430405.07,"2022-02-19T00:00:00.000Z"
1.6318464451,1.6339747759,1.500873913,1.5158486607,846724841.14,11417788006.76,"2022-02-20T00:00:00.000Z"
1.5151272501,1.6136387768,1.4058168927,1.4087874694,1583251488.62,10611373740.37,"2022-02-21T00:00:00.000Z"
1.4084250052,1.4710657418,1.3560916126,1.4644761146,1347670061.88,11030835894.96,"2022-02-22T00:00:00.000Z"
1.4642527353,1.5879504217,1.4423743872,1.4423743872,1457761250.31,10864359620.1,"2022-02-23T00:00:00.000Z"
1.4412293385,1.490583296,1.2530777167,1.439592609,2679134467.91,10851434529.2,"2022-02-24T00:00:00.000Z"
1.4398401662,1.5719450138,1.4112385681,1.5506503878,1599951071.75,11688571513.89,"2022-02-25T00:00:00.000Z"
1.5506558752,1.585732116,1.5081084893,1.5152936288,898567949.94,11422057533.56,"2022-02-26T00:00:00.000Z"
1.5150846284,1.5434711781,1.4329467447,1.4530022377,1047102113.12,10952514311.56,"2022-02-27T00:00:00.000Z"
1.4525397071,1.6111914358,1.4305617013,1.6111914358,1205482070.07,12177144738.92,"2022-02-28T00:00:00.000Z"
1.6114539849,1.6608217156,1.5646945281,1.6213522829,1420105584.9,12253938906.86,"2022-03-01T00:00:00.000Z"
1.6213192951,1.6936864283,1.586200761,1.635244929,1415870293.75,12358937455.62,"2022-03-02T00:00:00.000Z"
1.6354967088,1.648979416,1.550276788,1.5844132611,990710018.31,11974759285.97,"2022-03-03T00:00:00.000Z"
